Date,BRL
2021-11-18,5.538915821947994
2021-11-17,5.481442205726405
2021-11-16,5.439655172413793
2021-11-15,5.457707095421181
2021-11-12,5.4072327044025155
2021-11-11,5.443542757417103
2021-11-10,5.447741823844956
2021-11-09,5.514986611384642
2021-11-08,5.585024613524484
2021-11-05,5.572792777150794
2021-11-04,5.604028005877776
2021-11-03,5.671359474866126
2021-11-02,5.68016892183056
2021-11-01,5.650889618241493
2021-10-29,5.6417346500644046
2021-10-28,5.589407401017856
2021-10-27,5.5530687785142465
2021-10-26,5.562058874160785
2021-10-25,5.636904248901145
2021-10-22,5.701117798796217
2021-10-21,5.662284093838618
2021-10-20,5.577733803665146
2021-10-19,5.56036036036036
2021-10-18,5.485263702171665
2021-10-15,5.484830201689364
2021-10-14,5.4756076538527845
2021-10-13,5.51928732053278
2021-10-12,5.536737343141498
2021-10-11,5.50535683428374
2021-10-08,5.50073472210217
2021-10-07,5.481750562186473
2021-10-06,5.508923929994801
2021-10-05,5.4392346147216
2021-10-04,5.378050876589894
2021-10-01,5.415172413793104
2021-09-30,5.409016322653079
2021-09-29,5.424575253131971
2021-09-28,5.40520637095393
2021-09-27,5.3160369293896395
2021-09-24,5.318883863810906
2021-09-23,5.274263764404609
2021-09-22,5.255008952169835
2021-09-21,5.323138524450504
2021-09-20,5.3364358295619505
2021-09-17,5.266468590831919
2021-09-16,5.237694465697527
2021-09-15,5.241796346414073
2021-09-14,5.230066023362113
2021-09-13,5.226061120543294
2021-09-10,5.188413140782029
2021-09-09,5.293968575772935
2021-09-08,5.218398579521434
2021-09-07,5.170573355817876
2021-09-06,5.195380984490898
2021-09-03,5.161640835579515
2021-09-02,5.185632280938713
2021-09-01,5.152407548447152
2021-08-31,5.187257055940511
2021-08-30,5.213880179645793
2021-08-27,5.245472323781992
2021-08-26,5.226990736806322
2021-08-25,5.257924335378323
2021-08-24,5.3390971039182284
2021-08-23,5.361495135688685
2021-08-20,5.451289521035044
2021-08-19,5.443057455540356
2021-08-18,5.281327305297279
2021-08-17,5.274496473187728
2021-08-16,5.278882093102276
2021-08-13,5.236804079898002
2021-08-12,5.218757986199846
2021-08-11,5.215309779825909
2021-08-10,5.244070977648866
2021-08-09,5.249128475469773
2021-08-06,5.2167358346743455
2021-08-05,5.153080168776371
2021-08-04,5.19433437315572
2021-08-03,5.199074463609592
2021-08-02,5.170705031129059
2021-07-30,5.1060465898578755
2021-07-29,5.088772845953002
2021-07-28,5.160582705174896
2021-07-27,5.189500423370025
2021-07-26,5.2215152286417235
2021-07-23,5.18475397297527
2021-07-22,5.182929936305732
2021-07-21,5.243968739381583
2021-07-20,5.234225053078556
2021-07-19,5.168536460989291
2021-07-16,5.096254872055584
2021-07-15,5.087221610635956
2021-07-14,5.129613951913308
2021-07-13,5.176967240797028
2021-07-12,5.267127910901114
2021-07-09,5.259655928487097
2021-07-08,5.2764825139381655
2021-07-07,5.174879553714817
2021-07-06,5.093090048994763
2021-07-05,5.062278779706725
2021-07-02,5.025881755899518
2021-07-01,4.960871760350051
2021-06-30,4.968865701783912
2021-06-29,4.948351278600269
2021-06-28,4.967170445004197
2021-06-25,4.906694560669456
2021-06-24,4.946464477211796
2021-06-23,4.953811396535855
2021-06-22,5.0178241129981505
2021-06-21,5.061979648473635
2021-06-18,5.007144057824844
2021-06-17,5.050347658540672
2021-06-16,5.036539096007918
2021-06-15,5.070531879748926
2021-06-14,5.10617569352708
2021-06-11,5.078762886597938
2021-06-10,5.0461639559717435
2021-06-09,5.030340303403034
2021-06-08,5.032014447545559
2021-06-07,5.047607301430686
2021-06-04,5.106379466864736
2021-06-03,5.078690407811603
2021-06-02,5.1609223699327105
2021-06-01,5.202126789366054
2021-05-31,5.2346528973035
2021-05-28,5.25811233734146
2021-05-27,5.302754549926218
2021-05-26,5.315724916182844
2021-05-25,5.2976190476190474
2021-05-24,5.347117589256468
2021-05-21,5.30259271414506
2021-05-20,5.291075964926657
2021-05-19,5.283327874222076
2021-05-18,5.243413516609393
2021-05-17,5.300584699003541
2021-05-14,5.27443702053947
2021-05-13,5.299809618409072
2021-05-12,5.239313418055785
2021-05-11,5.223993426458504
2021-05-10,5.246774591174296
2021-05-07,5.290737208723774
2021-05-06,5.36542288557214
2021-05-05,5.42890462307372
2021-05-04,5.4725064470509945
2021-05-03,5.4389737628694785
2021-04-30,5.346548584671412
2021-04-29,5.357737653557589
2021-04-28,5.436619718309859
2021-04-27,5.437045003309066
2021-04-26,5.452627223831196
2021-04-23,5.434443891927732
2021-04-22,5.52432342686369
2021-04-21,5.569167985341883
2021-04-20,5.56941332669488
2021-04-19,5.571749065226422
2021-04-16,5.623227098281328
2021-04-15,5.650041771094402
2021-04-14,5.699515212303578
2021-04-13,5.734364492266308
2021-04-12,5.667002688172044
2021-04-09,5.605736877523553
2021-04-08,5.604733428788006
2021-04-07,5.5907101985863354
2021-04-06,5.642058923129021
2021-04-01,5.631619274646687
2021-03-31,5.749168443496801
2021-03-30,5.764841154927179
2021-03-29,5.7674813306177874
2021-03-26,5.695976913936514
2021-03-25,5.673614641586172
2021-03-24,5.518646934460888
2021-03-23,5.5172936127240595
2021-03-22,5.527167533120912
2021-03-19,5.526028088470271
2021-03-18,5.559519811954331
2021-03-17,5.652053413958175
2021-03-16,5.594667113868858
2021-03-15,5.612080536912752
2021-03-12,5.566161065951563
2021-03-11,5.60105271952544
2021-03-10,5.785990581903801
2021-03-09,5.847738355473348
2021-03-08,5.749873588403842
2021-03-05,5.694337409951416
2021-03-04,5.60653149410005
